image,fichier_origine,source_lien,licence
drone_0090.jpg,WM_MQ4C_Triton_028.jpg,https://commons.wikimedia.org/wiki/File:Full_scale_mock-up_of_the_Northrop_Grumman_MQ-4C_Triton_on_display_at_the_2013_Australian_International_Airshow.jpg,CC BY-SA 3.0 au
drone_0091.jpg,WM_MQ4C_Triton_029.jpg,https://commons.wikimedia.org/wiki/File:Full_scale_mock-up_of_the_Northrop_Grumman_MQ-4C_Triton_on_display_at_the_2013_Australian_International_Airshow_(2).jpg,CC BY-SA 3.0 au
drone_0092.jpg,WM_MQ4C_Triton_030.jpg,https://commons.wikimedia.org/wiki/File:MQ-4C_Triton_Hangar_Ribbon_Cutting_Ceremony_(8266257).jpg,Public domain
drone_0093.jpg,WM_MQ4C_Triton_031.jpg,https://commons.wikimedia.org/wiki/File:MQ-4C_Tritons_on_ramp_Palmdale_May_2013.jpg,Public domain
drone_0094.jpg,WM_MQ4C_Triton_032.jpg,https://commons.wikimedia.org/wiki/File:MQ-4Cs_on_ramp_from_above.jpg,Public domain
drone_0095.jpg,WM_MQ9_Reaper_001.jpg,https://commons.wikimedia.org/wiki/File:118th_AW_MQ-9_Hangar.jpg,Public domain
drone_0096.jpg,WM_MQ9_Reaper_002.jpg,https://commons.wikimedia.org/wiki/File:138th_Attack_Squadron_-_General_Atomics_MQ-9B_Reaper_09-4066.jpg,Public domain
drone_0097.jpg,WM_MQ9_Reaper_003.jpg,https://commons.wikimedia.org/wiki/File:138th_Attack_Squadron_-_General_Atomics_MQ-9B_Reaper_09-4072.jpg,Public domain
drone_0098.jpg,WM_MQ9_Reaper_004.jpg,https://commons.wikimedia.org/wiki/File:138th_Attack_Squadron_-_MQ-9A_Reaper.jpg,Public domain
drone_0099.jpg,WM_MQ9_Reaper_005.jpg,https://commons.wikimedia.org/wiki/File:147ATKW_MQ-9.jpg,Public domain
drone_0100.jpg,WM_MQ9_Reaper_006.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624862).jpg,Public domain
drone_0101.jpg,WM_MQ9_Reaper_007.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624863).jpg,Public domain
drone_0102.jpg,WM_MQ9_Reaper_008.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624864).jpg,Public domain
drone_0103.jpg,WM_MQ9_Reaper_201.jpg,https://commons.wikimedia.org/wiki/File:147th_Attack_Wing_Maintainers_Conduct_Post-Flight_Checks_on_MQ-9_Reaper_(8624865).jpg,Public domain
